"weight";"word";"color";"url"
"14";"macy";"";""
"3";"minding";"";""
"11";"commonalities";"";""
"3";"bact";"";""
"3";"ttler";"";""
"45";"portugal";"";""
"7";"alities";"";""
"3";"schermerhorn";"";""
"3";"vluchtelingen";"";""
"4";"ontradi";"";""
"316";"attempt";"";""
"46";"groningen";"";""
"26";"mabs";"";""
"159";"fulfil";"";""
"26";"characterizes";"";""
"5";"hiroyasu";"";""
"3";"dispatchers";"";""
"5";"quebec";"";""
"3";"sightedness";"";""
"10";"maes";"";""
"6";"microorganisms";"";""
"3";"comings";"";""
"42";"diffusion";"";""
"7";"cultivating";"";""
"18";"ferna";"";""
"7";"ellis";"";""
"4";"baldwin";"";""
"4";"curto";"";""
"217";"coalition";"";""
"4";"kehler";"";""
"3";"irregularity";"";""
"19";"understandings";"";""
"3";"nonzero";"";""
"43";"seghrouchni";"";""
"57";"intensity";"";""
"3";"compass";"";""
"223";"compare";"";""
"3";"stria";"";""
"6";"compara";"";""
"4";"compari";"";""
"3";"sufficiency";"";""
"4";"revenue";"";""
"22";"bilingual";"";""
"3";"maga";"";""
"67";"intensive";"";""
"6";"gregory";"";""
"32";"topology";"";""
"14";"darpa";"";""
"4";"admittance";"";""
"3";"bajo";"";""
"6";"bake";"";""
"16";"sharedplans";"";""
"6";"compati";"";""
"10";"hired";"";""
"166";"mail";"";""
"7";"zheng";"";""
"934";"main";"";""
"8";"sadness";"";""
"18";"mais";"";""
"4";"insincere";"";""
"3";"hires";"";""
"721";"meaning";"";""
"16";"perspec";"";""
"35";"threats";"";""
"3";"palms";"";""
"14";"categorize";"";""
"3";"talman";"";""
"10";"childhood";"";""
"7";"allied";"";""
"9";"vastly";"";""
"227";"progress";"";""
"10";"male";"";""
"220";"configuration";"";""
"30";"gotobistro";"";""
"4";"friendships";"";""
"138";"trees";"";""
"51";"ball";"";""
"19";"plementation";"";""
"4";"moreau";"";""
"7";"acknowl";"";""
"13";"vigano";"";""
"7";"mann";"";""
"16";"stat";"";""
"10";"star";"";""
"11";"mano";"";""
"9";"releases";"";""
"8";"shortcoming";"";""
"5";"mans";"";""
"267";"expression";"";""
"3";"many";"";""
"8";"bans";"";""
"70";"stay";"";""
"132";"highest";"";""
"7";"inspire";"";""
"3";"mana";"";""
"4";"woken";"";""
"5";"mand";"";""
"44";"stan";"";""
"3";"hindering";"";""
"88";"sichman";"";""
"4";"dichotomous";"";""
"12";"declaratively";"";""
"139";"expressing";"";""
"1253";"constraints";"";""
"315";"predicate";"";""
"38";"remember";"";""
"12";"perspaf";"";""
"5";"escola";"";""
"158";"bank";"";""
"6";"ogsi";"";""
"7";"band";"";""
"6";"tainment";"";""
"10";"released";"";""
"108";"maps";"";""
"44";"informatics";"";""
"98";"modification";"";""
"34";"gordon";"";""
"14";"predictability";"";""
"15";"foreseen";"";""
"4";"redesigned";"";""
"16";"informatica";"";""
"11";"latitude";"";""
"59";"treat";"";""
"13";"clodic";"";""
"78";"speci";"";""
"751";"needed";"";""
"7";"invoking";"";""
"95";"numbers";"";""
"4";"abortion";"";""
"10";"spect";"";""
"21";"specs";"";""
"4";"mart";"";""
"4";"mars";"";""
"64";"mary";"";""
"17";"scribe";"";""
"8";"bart";"";""
"3";"bass";"";""
"5";"korea";"";""
"3";"mare";"";""
"32";"marc";"";""
"3";"mari";"";""
"3";"basi";"";""
"5";"ster";"";""
"1076";"step";"";""
"1004";"base";"";""
"25";"stem";"";""
"96";"mark";"";""
"23";"admin";"";""
"264";"auction";"";""
"8";"operable";"";""
"113";"speed";"";""
"20";"hiding";"";""
"27";"bars";"";""
"13";"admit";"";""
"22";"discharged";"";""
"3";"bari";"";""
"91";"computationally";"";""
"7";"matt";"";""
"145";"fairness";"";""
"26";"disagreement";"";""
"33";"spent";"";""
"4";"vergence";"";""
"23";"math";"";""
"5";"cused";"";""
"4";"mate";"";""
"4";"baum";"";""
"4";"demographics";"";""
"28";"sourceforge";"";""
"140";"mass";"";""
"27";"masq";"";""
"49";"trend";"";""
"3";"standable";"";""
"63";"proactive";"";""
"27";"underlies";"";""
"473";"platform";"";""
"29";"implemen";"";""
"5";"downloads";"";""
"31";"mase";"";""
"4";"ashton";"";""
"8";"auckland";"";""
"4";"masj";"";""
"4";"masi";"";""
"32";"bath";"";""
"31";"europe";"";""
"9";"europa";"";""
"5";"weaver";"";""
"3";"stephan";"";""
"359";"opinion";"";""
"43";"uniquely";"";""
"3";"soldier";"";""
"48";"stit";"";""
"59";"hospitals";"";""
"8";"experimen";"";""
"5";"barwise";"";""
"175";"expressive";"";""
"7";"sational";"";""
"47";"locution";"";""
"8";"monolithic";"";""
"3";"maya";"";""
"12";"visitors";"";""
"4";"izzaria";"";""
"28";"maxi";"";""
"58";"borrow";"";""
"4";"maxt";"";""
"7";"honored";"";""
"18";"respected";"";""
"25";"seeks";"";""
"3";"moreno";"";""
"156";"existence";"";""
"7";"maxb";"";""
"207";"across";"";""
"15";"provenance";"";""
"3";"congestions";"";""
"16";"zhao";"";""
"4";"biodiversity";"";""
"4";"heriot";"";""
"31";"stephen";"";""
"3";"stnh";"";""
"52";"boella";"";""
"5";"spell";"";""
"4";"yaneer";"";""
"4";"ommanded";"";""
"7";"pentium";"";""
"280";"seems";"";""
"4";"commence";"";""
"18";"hascpu";"";""
"10";"maze";"";""
"3";"enmity";"";""
"54";"incentive";"";""
"43";"spend";"";""
"4";"cialization";"";""
"117";"html";"";""
"471";"version";"";""
"3";"summarises";"";""
"876";"planning";"";""
"112";"stop";"";""
"4";"oscillating";"";""
"9";"willmott";"";""
"16";"temporary";"";""
"3";"fairs";"";""
"3";"awaiting";"";""
"16";"summarised";"";""
"13";"stns";"";""
"9";"zimmerman";"";""
"3";"wikipedia";"";""
"18";"shortest";"";""
"4";"toughness";"";""
"32";"loops";"";""
"104";"characterize";"";""
"4";"rumbaugh";"";""
"68";"elementary";"";""
"6";"declaratives";"";""
"8";"oscillations";"";""
"430";"understanding";"";""
"3";"hermit";"";""
"3";"females";"";""
"30";"severe";"";""
"67";"missions";"";""
"54";"paolo";"";""
"21";"lasting";"";""
"56";"loose";"";""
"12";"bbai";"";""
"6";"braddock";"";""
"3";"athlon";"";""
"6";"struction";"";""
"5";"quires";"";""
"8";"lectual";"";""
"77";"functionalities";"";""
"17";"complements";"";""
"17";"pected";"";""
"18";"quired";"";""
"4";"georg";"";""
"13";"berkeley";"";""
"8";"leopard";"";""
"9";"metatem";"";""
"3";"paola";"";""
"7";"dleware";"";""
"12";"categorias";"";""
"12";"stud";"";""
"3";"rajamani";"";""
"144";"fails";"";""
"4";"categorial";"";""
"168";"axiom";"";""
"10";"thoroughly";"";""
"8";"vehiclecv";"";""
"19";"connectedness";"";""
"3";"goebel";"";""
"12";"massively";"";""
"6";"alerts";"";""
"29";"seventh";"";""
"73";"martin";"";""
"4";"kicks";"";""
"3";"hollander";"";""
"6";"mbfa";"";""
"129";"tries";"";""
"9";"localization";"";""
"9";"occupation";"";""
"42";"characterise";"";""
"311";"occurs";"";""
"65";"tried";"";""
"6";"deepest";"";""
"46";"chose";"";""
"6";"television";"";""
"3";"openup";"";""
"3";"falomir";"";""
"3";"clocks";"";""
"6";"traverse";"";""
"7";"remedied";"";""
"7";"traverso";"";""
"12";"podlaszewski";"";""
"45";"typing";"";""
"41";"strongest";"";""
"16";"versity";"";""
"8";"grupo";"";""
"596";"tions";"";""
"3";"chatila";"";""
"5";"fwigi";"";""
"45";"screen";"";""
"9";"pechoucek";"";""
"7";"chouc";"";""
"1196";"autonomous";"";""
"5";"decentralizing";"";""
"29";"alternatively";"";""
"9";"ofstatus";"";""
"84";"newcomers";"";""
"12";"reorg";"";""
"4";"zhou";"";""
"7";"seibt";"";""
"23";"plots";"";""
"132";"moise";"";""
"97";"driving";"";""
"3";"ploring";"";""
"5";"tsamardinos";"";""
"14";"ramalho";"";""
"11";"races";"";""
"4";"gether";"";""
"10";"joseph";"";""
"9";"deontics";"";""
"11";"supportive";"";""
"61";"kuiper";"";""
"131";"immediately";"";""
"29";"trial";"";""
"113";"updating";"";""
"12";"triad";"";""
"8";"escal";"";""
"41";"bridging";"";""
"8";"remedial";"";""
"5";"sheffield";"";""
"4";"metain";"";""
"3";"thoroughness";"";""
"16";"tribe";"";""
"3";"ecute";"";""
"9";"angles";"";""
"3";"martha";"";""
"6";"flict";"";""
"122";"subgoals";"";""
"32";"ondition";"";""
"23";"elderly";"";""
"102";"trick";"";""
"4";"outbreak";"";""
"3";"hermes";"";""
"7";"boils";"";""
"6";"amelie";"";""
"25";"entrance";"";""
"20";"encompass";"";""
"150";"effectively";"";""
"4";"triumph";"";""
"20";"suas";"";""
"4";"hubs";"";""
"4";"rents";"";""
"59";"mappings";"";""
"114";"expertise";"";""
"764";"represented";"";""
"8";"backbone";"";""
"4";"fluctuating";"";""
"3";"degraded";"";""
"14";"amples";"";""
"52";"classic";"";""
"3";"such";"";""
"9";"succ";"";""
"6";"degrades";"";""
"10";"lehmann";"";""
"12";"section";"";""
"10";"mbox";"";""
"21";"subg";"";""
"28";"lifecycle";"";""
"4";"diction";"";""
"3";"subc";"";""
"34";"magician";"";""
"39";"subj";"";""
"12";"thismodule";"";""
"5";"unreachable";"";""
"5";"duplicate";"";""
"20";"reconstruct";"";""
"32";"situa";"";""
"4";"museum";"";""
"5";"anirem";"";""
"14";"sues";"";""
"266";"classes";"";""
"3";"uenced";"";""
"17";"arriving";"";""
"9";"openly";"";""
"233";"supporting";"";""
"14";"beliefbase";"";""
"138";"remain";"";""
"3";"plified";"";""
"5";"disjointness";"";""
"53";"urban";"";""
"11";"mbti";"";""
"12";"featured";"";""
"7";"rabin";"";""
"14";"dialectics";"";""
"18";"occupy";"";""
"3";"hugo";"";""
"12";"israel";"";""
"3";"ontrary";"";""
"10";"logistic";"";""
"591";"features";"";""
"128";"organisations";"";""
"45";"huge";"";""
"9";"erasmus";"";""
"23";"comprising";"";""
"13";"leinonen";"";""
"144";"wildfire";"";""
"32";"davis";"";""
"7";"departmental";"";""
"264";"completely";"";""
"64";"prioritized";"";""
"29";"suit";"";""
"6";"browse";"";""
"6";"searchers";"";""
"4";"irish";"";""
"12";"naturalness";"";""
"9";"subsumed";"";""
"7";"stuck";"";""
"46";"huib";"";""
"109";"david";"";""
"266";"berlin";"";""
"16";"subsumes";"";""
"7";"foci";"";""
"3";"enteman";"";""
"4";"levinson";"";""
"35";"opened";"";""
"5";"shareholders";"";""
"36";"durfee";"";""
"125";"tropos";"";""
"8";"studi";"";""
"22";"comfortable";"";""
"9";"opener";"";""
"6";"zafiroglu";"";""
"4";"finalize";"";""
"4";"solocamper";"";""
"3";"hull";"";""
"3";"faixa";"";""
"4";"sociocultural";"";""
"10";"tified";"";""
"966";"study";"";""
"3";"selgoal";"";""
"4";"montanari";"";""
"12";"confirming";"";""
"214";"categories";"";""
"6";"alienblood";"";""
"15";"discursive";"";""
"29";"hunt";"";""
"4";"sociologists";"";""
"117";"produced";"";""
"4";"provoke";"";""
"6";"sune";"";""
"13";"sums";"";""
"5";"multidimensional";"";""
"14";"hung";"";""
"606";"effect";"";""
"92";"produces";"";""
"27";"producer";"";""
"24";"dial";"";""
"25";"booking";"";""
"7";"indivisible";"";""
"3";"pharmaceutical";"";""
"11";"institutionalized";"";""
"5";"olulu";"";""
"11";"sume";"";""
"4";"ulisboa";"";""
"7";"fogg";"";""
"26";"dias";"";""
"16";"gotnes";"";""
"3";"browne";"";""
"7";"moseley";"";""
"9";"sult";"";""
"8";"supe";"";""
"24";"didn";"";""
"7";"overcomes";"";""
"10";"supb";"";""
"5";"explicating";"";""
"310";"specifying";"";""
"5";"originates";"";""
"5";"viewers";"";""
"3";"posited";"";""
"47";"remark";"";""
"41";"matters";"";""
"86";"fulfillment";"";""
"96";"perceive";"";""
"11";"originated";"";""
"6";"sigplan";"";""
"4";"quintuple";"";""
"26";"explication";"";""
"8";"faith";"";""
"3";"emergencies";"";""
"29";"instruments";"";""
"4";"reinventing";"";""
"63";"looks";"";""
"3";"instrumento";"";""
"8";"suny";"";""
"156";"sure";"";""
"3";"rency";"";""
"5";"posterior";"";""
"13";"fold";"";""
"3";"infological";"";""
"9";"chandrasekaran";"";""
"265";"extend";"";""
"5";"tease";"";""
"3";"hurk";"";""
"5";"endris";"";""
"6";"folk";"";""
"7";"recalled";"";""
"3";"vassallo";"";""
"3";"ostensive";"";""
"5";"hurt";"";""
"6";"shoppinglist";"";""
"4";"rence";"";""
"6";"died";"";""
"551";"content";"";""
"22";"intermediary";"";""
"15";"cristina";"";""
"3";"gents";"";""
"334";"notions";"";""
"351";"assumption";"";""
"16";"honest";"";""
"3";"villadsen";"";""
"4";"supy";"";""
"10";"dies";"";""
"82";"aa";"";""
"5";"contend";"";""
"128";"ab";"";""
"7";"outstanding";"";""
"671";"ac";"";""
"138";"ad";"";""
"18";"ae";"";""
"248";"af";"";""
"151";"ag";"";""
"22";"ah";"";""
"1177";"ai";"";""
"168";"aj";"";""
"38";"ak";"";""
"3";"unanimously";"";""
"4";"rewardpolicy";"";""
"198";"am";"";""
"16";"informatique";"";""
"13";"an";"";""
"294";"food";"";""
"121";"ao";"";""
"208";"ap";"";""
"6";"javacc";"";""
"261";"ar";"";""
"853";"as";"";""
"5";"at";"";""
"137";"au";"";""
"28";"av";"";""
"5";"voter";"";""
"6";"aw";"";""
"17";"skeptical";"";""
"33";"ax";"";""
"8";"centrais";"";""
"134";"ay";"";""
"3";"az";"";""
"4";"fonn";"";""
"155";"partner";"";""
"34";"votes";"";""
"107";"ba";"";""
"39";"bb";"";""
"42";"bc";"";""
"15";"susi";"";""
"5";"bd";"";""
"12";"be";"";""
"13";"bf";"";""
"183";"extent";"";""
"5";"gerald";"";""
"66";"bg";"";""
"17";"bh";"";""
"93";"bi";"";""
"24";"bj";"";""
"5";"bk";"";""
"8";"susp";"";""
"17";"bl";"";""
"5";"voted";"";""
"51";"bm";"";""
"7";"bn";"";""
"183";"bo";"";""
"13";"bp";"";""
"265";"br";"";""
"53";"bs";"";""
"13";"bt";"";""
"24";"bu";"";""
"143";"creativity";"";""
"4";"surv";"";""
"3";"bv";"";""
"26";"chiefdom";"";""
"8";"bx";"";""
"15";"sprague";"";""
"5";"by";"";""
"3";"bz";"";""
"10";"genre";"";""
"4";"giaglis";"";""
"42";"panel";"";""
"335";"ca";"";""
"6";"tinct";"";""
"39";"cb";"";""
"77";"cc";"";""
"201";"cd";"";""
"134";"ce";"";""
"175";"cf";"";""
"37";"cg";"";""
"343";"ch";"";""
"5";"vengefulness";"";""
"359";"ci";"";""
"98";"cj";"";""
"74";"ck";"";""
"240";"cl";"";""
"4";"favored";"";""
"457";"cm";"";""
"94";"cn";"";""
"423";"co";"";""
"15";"internals";"";""
"89";"cp";"";""
"51";"cq";"";""
"95";"cr";"";""
"382";"cs";"";""
"237";"ct";"";""
"29";"cu";"";""
"248";"cv";"";""
"32";"cw";"";""
"65";"cx";"";""
"9";"fopl";"";""
"27";"cy";"";""
"33";"cz";"";""
"5";"viale";"";""
"265";"da";"";""
"78";"db";"";""
"66";"dc";"";""
"5";"dd";"";""
"5";"de";"";""
"168";"df";"";""
"59";"dg";"";""
"461";"di";"";""
"3";"trainplan";"";""
"3";"quazi";"";""
"2625";"language";"";""
"9";"dj";"";""
"7";"dk";"";""
"102";"dl";"";""
"23";"dm";"";""
"19";"dn";"";""
"17";"do";"";""
"54";"dp";"";""
"49";"sites";"";""
"73";"dr";"";""
"115";"ds";"";""
"189";"dt";"";""
"29";"du";"";""
"10";"dw";"";""
"34";"dx";"";""
"74";"terminology";"";""
"48";"dy";"";""
"9";"dz";"";""
"162";"emergent";"";""
"3";"athanasios";"";""
"223";"ea";"";""
"31";"eb";"";""
"174";"ec";"";""
"332";"ed";"";""
"5";"brainstorming";"";""
"32";"ee";"";""
"87";"ef";"";""
"46";"eg";"";""
"147";"ei";"";""
"70";"ej";"";""
"23";"ek";"";""
"101";"el";"";""
"174";"em";"";""
"1448";"specification";"";""
"417";"en";"";""
"3";"sterman";"";""
"5";"eo";"";""
"68";"ep";"";""
"26";"eq";"";""
"214";"er";"";""
"279";"es";"";""
"21";"proceeding";"";""
"8";"panic";"";""
"130";"eu";"";""
"72";"ev";"";""
"5";"fork";"";""
"569";"ex";"";""
"1234";"form";"";""
"5";"dime";"";""
"22";"ey";"";""
"10";"ez";"";""
"3";"dima";"";""
"8";"ficult";"";""
"121";"fa";"";""
"6";"renew";"";""
"3";"fort";"";""
"5";"fb";"";""
"39";"fc";"";""
"43";"fd";"";""
"20";"fe";"";""
"19";"ff";"";""
"13";"fg";"";""
"304";"fi";"";""
"6";"pitman";"";""
"29";"fj";"";""
"17";"fk";"";""
"41";"fl";"";""
"55";"fm";"";""
"27";"fn";"";""
"8";"cobit";"";""
"66";"fo";"";""
"8";"forb";"";""
"57";"fp";"";""
"15";"ford";"";""
"8";"parallelloop";"";""
"61";"fr";"";""
"38";"fore";"";""
"75";"fs";"";""
"34";"ft";"";""
"24";"fu";"";""
"8";"fv";"";""
"18";"fw";"";""
"5";"fx";"";""
"270";"attacks";"";""
"17";"unimelb";"";""
"61";"ga";"";""
"245";"https";"";""
"17";"gb";"";""
"12";"gc";"";""
"35";"gd";"";""
"76";"ge";"";""
"13";"gf";"";""
"8";"gh";"";""
"13";"demolombe";"";""
"100";"gi";"";""
"10";"gj";"";""
"9";"gk";"";""
"8";"proliferation";"";""
"63";"window";"";""
"18";"gl";"";""
"34";"sports";"";""
"36";"gm";"";""
"16";"nobel";"";""
"21";"gn";"";""
"625";"go";"";""
"12";"gp";"";""
"18";"additive";"";""
"76";"gr";"";""
"11";"dino";"";""
"46";"motorhome";"";""
"74";"gs";"";""
"27";"gt";"";""
"19";"gu";"";""
"8";"gv";"";""
"841";"intelligent";"";""
"3";"gw";"";""
"5";"talked";"";""
"3";"gy";"";""
"3";"gz";"";""
"4";"dinate";"";""
"33";"ha";"";""
"7";"hb";"";""
"22";"hc";"";""
"41";"hd";"";""
"4";"hg";"";""
"9";"hh";"";""
"94";"hi";"";""
"6";"hj";"";""
"31";"datum";"";""
"100";"triggered";"";""
"54";"hk";"";""
"3";"receberam";"";""
"10";"hl";"";""
"24";"hn";"";""
"16";"ho";"";""
"59";"hp";"";""
"3";"transcription";"";""
"4";"mcgl";"";""
"7";"hr";"";""
"6";"hs";"";""
"3";"ht";"";""
"48";"dunne";"";""
"91";"hu";"";""
"43";"hw";"";""
"5";"hx";"";""
"16";"hy";"";""
"27";"hz";"";""
"3";"ding";"";""
"4";"ifgoal";"";""
"77";"ia";"";""
"3";"tinit";"";""
"459";"ability";"";""
"23";"ib";"";""
"469";"ic";"";""
"8";"trangers";"";""
"86";"believable";"";""
"16";"id";"";""
"57";"ie";"";""
"5";"if";"";""
"48";"ig";"";""
"398";"ii";"";""
"82";"ij";"";""
"32";"ik";"";""
"54";"il";"";""
